species,folder,observation_id,photo_id,filename,license,attribution,inat_url,photo_url,observed_on,place_guess,quality_grade,inat_taxon_name
Cryptocarya alba,SP001_peumo,381505161,698070171,obs_381505161_photo_698070171.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/381505161,https://inaturalist-open-data.s3.amazonaws.com/photos/698070171/medium.jpg,2026-07-14,"Centenario, El Tabo, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,381505248,698070404,obs_381505248_photo_698070404.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/381505248,https://inaturalist-open-data.s3.amazonaws.com/photos/698070404/medium.jpg,2026-07-14,"Centenario, El Tabo, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,381505586,698071043,obs_381505586_photo_698071043.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/381505586,https://inaturalist-open-data.s3.amazonaws.com/photos/698071043/medium.jpg,2026-07-14,"Centenario, El Tabo, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,381505685,698071217,obs_381505685_photo_698071217.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/381505685,https://inaturalist-open-data.s3.amazonaws.com/photos/698071217/medium.jpg,2026-07-14,"Centenario, El Tabo, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,382127898,699274529,obs_382127898_photo_699274529.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/382127898,https://inaturalist-open-data.s3.amazonaws.com/photos/699274529/medium.jpg,2026-07-16,"Centenario, El Tabo, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,382740184,700449468,obs_382740184_photo_700449468.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/382740184,https://inaturalist-open-data.s3.amazonaws.com/photos/700449468/medium.jpg,2026-07-18,"Palacio Carrasco, Viña del Mar, Región de Valparaíso, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,384318371,703488668,obs_384318371_photo_703488668.jpg,cc-by-nc,"(c) alex10969, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/384318371,https://inaturalist-open-data.s3.amazonaws.com/photos/703488668/medium.jpg,2026-07-22,"Peñalolén, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,384328748,703508433,obs_384328748_photo_703508433.jpg,cc-by-nc,"(c) Jeremy Céspedes, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/384328748,https://inaturalist-open-data.s3.amazonaws.com/photos/703508433/medium.jpg,2026-07-23,"Cordillera, CL-RM, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,385370289,705497596,obs_385370289_photo_705497596.jpg,cc-by-nc,"(c) Aníbal I Acuña, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/385370289,https://inaturalist-open-data.s3.amazonaws.com/photos/705497596/medium.jpg,2026-07-26,"Cerro Colorado, Las Condes, Santiago Metropolitan Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,385456824,705663848,obs_385456824_photo_705663848.jpg,cc-by-nc,"(c) pascal vergara, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/385456824,https://inaturalist-open-data.s3.amazonaws.com/photos/705663848/medium.jpg,2026-07-26,"El Dibujo 2, Melipilla, Santiago Metropolitan Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,385679214,706090715,obs_385679214_photo_706090715.jpg,cc-by,"(c) Cesar Ormazabal, some rights reserved (CC BY)",https://www.inaturalist.org/observations/385679214,https://inaturalist-open-data.s3.amazonaws.com/photos/706090715/medium.jpg,2023-11-08,"Las Condes, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,389183014,712850208,obs_389183014_photo_712850208.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389183014,https://inaturalist-open-data.s3.amazonaws.com/photos/712850208/medium.jpg,2026-08-07,"Cementerio Parque del Mar, Concón, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,389650940,713758967,obs_389650940_photo_713758967.jpg,cc-by-nc,"(c) tinalina, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389650940,https://inaturalist-open-data.s3.amazonaws.com/photos/713758967/medium.jpg,2026-08-08,"Papudo, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,389651063,713759177,obs_389651063_photo_713759177.jpg,cc-by-nc,"(c) tinalina, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389651063,https://inaturalist-open-data.s3.amazonaws.com/photos/713759177/medium.jpg,2026-08-08,"Papudo, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,389856168,714142443,obs_389856168_photo_714142443.jpg,cc-by,"(c) Bruno Avilez, some rights reserved (CC BY)",https://www.inaturalist.org/observations/389856168,https://inaturalist-open-data.s3.amazonaws.com/photos/714142443/medium.jpg,2026-08-09,"Concepción, Bío Bío, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,389987975,714420896,obs_389987975_photo_714420896.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389987975,https://inaturalist-open-data.s3.amazonaws.com/photos/714420896/medium.jpg,2026-08-06,"Poza de la Virgen - Parque Natural Gómez Carreño, Viña del Mar, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390090041,714619209,obs_390090041_photo_714619209.jpg,cc-by-nc,"(c) sofia alvarez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390090041,https://inaturalist-open-data.s3.amazonaws.com/photos/714619209/medium.jpg,2026-08-09,"Callejón Los Molles, Melipilla, Santiago Metropolitan Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390302885,715034912,obs_390302885_photo_715034912.jpg,cc-by-nc,"(c) Benjamín Ignacio, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390302885,https://inaturalist-open-data.s3.amazonaws.com/photos/715034912/medium.jpg,2024-04-12,"2030477 La Ligua, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390308857,715047434,obs_390308857_photo_715047434.jpg,cc-by-nc,"(c) Benjamín Ignacio, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390308857,https://inaturalist-open-data.s3.amazonaws.com/photos/715047434/medium.jpg,2025-10-21,"2030477 La Ligua, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390404627,715236450,obs_390404627_photo_715236450.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390404627,https://inaturalist-open-data.s3.amazonaws.com/photos/715236450/medium.jpg,2026-08-08,"San Pedro, Quillota, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390490339,715405818,obs_390490339_photo_715405818.jpg,cc-by-nc,"(c) garec0304, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390490339,https://inaturalist-open-data.s3.amazonaws.com/photos/715405818/medium.jpg,2026-04-25,"Los Angeles, Los Ángeles, Bío Bío, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,390604192,715624843,obs_390604192_photo_715624843.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390604192,https://inaturalist-open-data.s3.amazonaws.com/photos/715624843/medium.jpg,2026-08-08,"Parque Nacional La Campana, Olmué, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,391239916,716863211,obs_391239916_photo_716863211.jpg,cc-by,"(c) Cesar Ormazabal, some rights reserved (CC BY)",https://www.inaturalist.org/observations/391239916,https://inaturalist-open-data.s3.amazonaws.com/photos/716863211/medium.jpg,2023-12-08,"Linares, Maule, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,393023931,720335420,obs_393023931_photo_720335420.jpg,cc-by-nc,"(c) Benjamín Pinto, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393023931,https://inaturalist-open-data.s3.amazonaws.com/photos/720335420/medium.jpg,2026-08-20,"Colegio Concepción P. De Valdivia, Concepción, Chiguayante, Bío Bío, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,393023947,720335531,obs_393023947_photo_720335531.jpg,cc-by-nc,"(c) Cat, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393023947,https://inaturalist-open-data.s3.amazonaws.com/photos/720335531/medium.jpg,2026-08-20,"Colegio Concepción P. De Valdivia, Concepción, Chiguayante, Bío Bío, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,393024028,720335691,obs_393024028_photo_720335691.jpg,cc-by-nc,"(c) Ninux Correa, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393024028,https://inaturalist-open-data.s3.amazonaws.com/photos/720335691/medium.jpg,2026-08-20,"Colegio Concepción P. De Valdivia, Concepción, Chiguayante, Bío Bío, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,393489150,721247247,obs_393489150_photo_721247247.jpg,cc-by-nc,"(c) Algarroboceae, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393489150,https://inaturalist-open-data.s3.amazonaws.com/photos/721247247/medium.jpg,2026-08-21,"Algarrobo, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,393707340,721675089,obs_393707340_photo_721675089.jpg,cc-by-nc,"(c) alex10969, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393707340,https://inaturalist-open-data.s3.amazonaws.com/photos/721675089/medium.jpg,2026-08-09,"PE1534-Portales de Piedra -Oriente / esq. Piedra del Rey -Sur, La Florida, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,394509447,723250091,obs_394509447_photo_723250091.jpg,cc-by-nc,"(c) Franco Allende, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/394509447,https://inaturalist-open-data.s3.amazonaws.com/photos/723250091/medium.jpg,2026-08-25,"Villarrica - Magallanes, 2570428 Viña del Mar, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,394704227,723632656,obs_394704227_photo_723632656.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/394704227,https://inaturalist-open-data.s3.amazonaws.com/photos/723632656/medium.jpg,2026-08-01,"Quinta Vergara, Viña del Mar, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,395332578,724870191,obs_395332578_photo_724870191.jpg,cc-by-nc,"(c) JOSÉ FERNÁNDEZ, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/395332578,https://inaturalist-open-data.s3.amazonaws.com/photos/724870191/medium.jpg,2026-06-25,"Zapallar, Valparaíso Region, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,395507822,725212466,obs_395507822_photo_725212466.jpg,cc-by-nc,"(c) emi, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/395507822,https://inaturalist-open-data.s3.amazonaws.com/photos/725212466/medium.jpg,2026-08-29,"El Granizo, Olmué, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,395510328,725216891,obs_395510328_photo_725216891.jpg,cc-by-nc,"(c) emi, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/395510328,https://inaturalist-open-data.s3.amazonaws.com/photos/725216891/medium.jpg,2026-08-29,"El Granizo, Olmué, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,396274199,726692825,obs_396274199_photo_726692825.jpg,cc-by-nc,"(c) jpr2027, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/396274199,https://inaturalist-open-data.s3.amazonaws.com/photos/726692825/medium.jpg,2026-05-20,"San Fernando, O'Higgins, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,396372337,726908568,obs_396372337_photo_726908568.jpg,cc-by-nc,"(c) danielaroldan, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/396372337,https://inaturalist-open-data.s3.amazonaws.com/photos/726908568/medium.jpg,2026-09-01,"Facultad De Arquitectura, Diseño Y Estudios Urbanos, Providencia, Región Metropolitana de Santiago, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,396375835,726914945,obs_396375835_photo_726914945.jpg,cc-by-nc,"(c) danielaroldan, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/396375835,https://inaturalist-open-data.s3.amazonaws.com/photos/726914945/medium.jpg,2026-09-01,"Facultad De Arquitectura, Diseño Y Estudios Urbanos, Providencia, Región Metropolitana de Santiago, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,397563380,729190138,obs_397563380_photo_729190138.jpg,cc-by-nc,"(c) manselaar, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397563380,https://inaturalist-open-data.s3.amazonaws.com/photos/729190138/medium.jpg,2026-09-05,"Paine, Santiago Metropolitan Region, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,398236784,730508986,obs_398236784_photo_730508986.jpg,cc-by-nc,"(c) aiyen, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/398236784,https://inaturalist-open-data.s3.amazonaws.com/photos/730508986/medium.jpg,2026-09-05,"Las Heras - Lincoyán, 4030523 Concepción, Bío Bío, Chile",research,Cryptocarya alba
Lithraea caustica,SP002_litre,383831511,702551386,obs_383831511_photo_702551386.jpg,cc-by-nc,"(c) alex10969, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/383831511,https://inaturalist-open-data.s3.amazonaws.com/photos/702551386/medium.jpg,2026-07-21,"Recoleta, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,383834955,702557891,obs_383834955_photo_702557891.jpg,cc-by-nc,"(c) alex10969, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/383834955,https://inaturalist-open-data.s3.amazonaws.com/photos/702557891/medium.jpg,2026-07-21,"Recoleta, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,384260619,703379240,obs_384260619_photo_703379240.jpg,cc-by-nc,"(c) Carolina P., some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/384260619,https://inaturalist-open-data.s3.amazonaws.com/photos/703379240/medium.jpg,2026-07-23,"Sendero Cerro El Carbón, Vitacura, Región Metropolitana de Santiago, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,385079387,704956018,obs_385079387_photo_704956018.jpg,cc-by-nc,"(c) qfaye, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/385079387,https://inaturalist-open-data.s3.amazonaws.com/photos/704956018/medium.jpg,2026-07-25,"H9H9+FF, Recoleta, Providencia, Région métropolitaine de Santiago, Chili",research,Lithraea caustica
Lithraea caustica,SP002_litre,385329926,705417958,obs_385329926_photo_705417958.jpg,cc-by-nc,"(c) garec0304, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/385329926,https://inaturalist-open-data.s3.amazonaws.com/photos/705417958/medium.jpg,2026-07-26,"El Carmen, Ñuble, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,385421525,705595401,obs_385421525_photo_705595401.jpg,cc-by-nc,"(c) lisetteeee, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/385421525,https://inaturalist-open-data.s3.amazonaws.com/photos/705595401/medium.jpg,2026-07-26,"Ruta I-238, Litueche, O'Higgins Region, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,385499174,705748440,obs_385499174_photo_705748440.jpg,cc-by,"(c) Cesar Ormazabal, some rights reserved (CC BY)",https://www.inaturalist.org/observations/385499174,https://inaturalist-open-data.s3.amazonaws.com/photos/705748440/medium.jpg,2023-11-08,"Santiago, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,386710922,708066117,obs_386710922_photo_708066117.jpg,cc-by-nc,"(c) Matias, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/386710922,https://inaturalist-open-data.s3.amazonaws.com/photos/708066117/medium.jpg,2026-07-30,"Rancagua, O'Higgins, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,388560622,711657806,obs_388560622_photo_711657806.jpg,cc-by-nc,"(c) Monita del monte, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/388560622,https://inaturalist-open-data.s3.amazonaws.com/photos/711657806/medium.jpg,2026-08-05,"Sendero Guardianes de los Andes, La Reina, Santiago Metropolitan Region, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,389183776,712851699,obs_389183776_photo_712851699.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389183776,https://inaturalist-open-data.s3.amazonaws.com/photos/712851699/medium.jpg,2026-08-06,"Poza de la Virgen - Parque Natural Gómez Carreño, Viña del Mar, Valparaíso Region, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,389200548,712882278,obs_389200548_photo_712882278.jpg,cc-by,"(c) Jorge Muñoz Camadro, some rights reserved (CC BY)",https://www.inaturalist.org/observations/389200548,https://inaturalist-open-data.s3.amazonaws.com/photos/712882278/medium.jpg,2026-08-06,"Melipilla, Región Metropolitana de Santiago, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,389862573,714169921,obs_389862573_photo_714169921.jpg,cc-by-nc,"(c) myzomela, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389862573,https://inaturalist-open-data.s3.amazonaws.com/photos/714169921/medium.jpg,2026-08-09,"Santiago Province, Santiago Metropolitan Region, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,389986306,714417415,obs_389986306_photo_714417415.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/389986306,https://inaturalist-open-data.s3.amazonaws.com/photos/714417415/medium.jpg,2026-08-06,"Poza de la Virgen - Parque Natural Gómez Carreño, Viña del Mar, Valparaíso Region, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,390106021,714648438,obs_390106021_photo_714648438.jpg,cc-by-nc,"(c) Benjamín Ignacio, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390106021,https://inaturalist-open-data.s3.amazonaws.com/photos/714648438/medium.jpg,2025-10-07,"Zapallar, Valparaíso, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,390108449,714652739,obs_390108449_photo_714652739.jpg,cc-by-nc,"(c) Benjamín Ignacio, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390108449,https://inaturalist-open-data.s3.amazonaws.com/photos/714652739/medium.jpg,2026-01-10,"V7XC+WJ, Valparaíso, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,390404281,715235690,obs_390404281_photo_715235690.jpg,cc-by-nc,"(c) liamrg, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/390404281,https://inaturalist-open-data.s3.amazonaws.com/photos/715235690/medium.jpg,2026-08-08,"San Pedro, Quillota, Valparaíso Region, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,391264420,716911754,obs_391264420_photo_716911754.jpg,cc-by,"(c) Cesar Ormazabal, some rights reserved (CC BY)",https://www.inaturalist.org/observations/391264420,https://inaturalist-open-data.s3.amazonaws.com/photos/716911754/medium.jpg,2023-12-08,"Linares, Maule, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,391649866,717667011,obs_391649866_photo_717667011.jpg,cc-by-nc,"(c) xnnx, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/391649866,https://inaturalist-open-data.s3.amazonaws.com/photos/717667011/medium.jpg,2026-08-01,"Maipú, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,391794608,717938537,obs_391794608_photo_717938537.jpg,cc-by-nc,"(c) bastianuz, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/391794608,https://inaturalist-open-data.s3.amazonaws.com/photos/717938537/medium.jpg,2026-08-09,"Ñuble, CL-BI, CL",research,Lithraea caustica
Lithraea caustica,SP002_litre,391794611,717938581,obs_391794611_photo_717938581.jpg,cc-by-nc,"(c) bastianuz, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/391794611,https://inaturalist-open-data.s3.amazonaws.com/photos/717938581/medium.jpg,2026-08-16,"Provincia de Diguillín, Ñuble, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,391856091,718057372,obs_391856091_photo_718057372.jpg,cc-by-nc,"(c) Martina Anais, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/391856091,https://inaturalist-open-data.s3.amazonaws.com/photos/718057372/medium.jpg,2026-08-16,"Melipilla, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,391886915,718114946,obs_391886915_photo_718114946.jpg,cc-by-nc,"(c) Franco Carramiñana, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/391886915,https://inaturalist-open-data.s3.amazonaws.com/photos/718114946/medium.jpg,2026-08-16,"PD68-Parada 1 / Punta de Rieles, 7810944 Macul, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,392734587,719770742,obs_392734587_photo_719770742.jpg,cc-by-nc,"(c) diegokeule, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/392734587,https://inaturalist-open-data.s3.amazonaws.com/photos/719770742/medium.jpg,2026-08-19,"Cobquecura, Ñuble, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,393015393,720319430,obs_393015393_photo_720319430.jpg,cc-by-nc,"(c) Álvaro, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393015393,https://inaturalist-open-data.s3.amazonaws.com/photos/720319430/medium.jpg,2026-08-18,"Valdivia, Los Ríos, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,393488545,721246215,obs_393488545_photo_721246215.jpg,cc-by-nc,"(c) Algarroboceae, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393488545,https://inaturalist-open-data.s3.amazonaws.com/photos/721246215/medium.jpg,2026-08-21,"Algarrobo, Valparaíso, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,393707227,721674829,obs_393707227_photo_721674829.jpg,cc-by-nc,"(c) alex10969, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393707227,https://inaturalist-open-data.s3.amazonaws.com/photos/721674829/medium.jpg,2026-08-09,"Peñalolén, Región Metropolitana, Chile",research,Lithraea caustica
Lithraea caustica,SP002_litre,393871141,721992660,obs_393871141_photo_721992660.jpg,cc-by-nc,"(c) Francisca Romero, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/393871141,https://inaturalist-open-data.s3.amazonaws.com/photos/721992660/medium.jpg,2026-08-23,"Valparaíso, Chile",research,Lithraea caustica
