"referenceId","seriesId","sourceType","referenceKind","sourceTitle","evidenceRole","pilotRelevance","botanicalSourceRef","photographerOrAuthor","rightsHolder","sourceUrl","license","licenseUrl","dateAccessed","dateTaken","location","protectedArea","referenceArea","latitude","longitude","locationPrecision","approxAltitudeM","season","timeOfDay","cameraBearing","slopeAspect","environmentType","ecosystemId","ecosystemName","ecosystemSource","category","terrainForm","slopeClass","vegetationStructure","canopyCoverClass","substrate","hydrology","weatherAtmosphere","visibleSpecies","speciesEvidence","landscapeElements","observedNotes","interpretedNotes","ecologicalUse","artUse","localAssetPath","reviewConfidence","status","notes"
"ENV-0011","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183219.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1y2kPwJqeZAiMaLufXZLiq3n2ruUbWpyT/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:32:19","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0012","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183314.jpg","visual;geomorphological;ecological","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1wK-HGOzZTHdLkuIVDd-3OsD5DGiX-lgb/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:33:14","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","tarde","","","quebrada_humeda","","","","evidencia territorial directa","cauce/quebrada con lecho expuesto","","vegetacion rala colonizando bordes y grietas","","canto rodado y bloques graniticos;sedimento arenoso","sin flujo superficial visible en el encuadre","","","","pared rocosa;lecho de canto rodado;cable o tuberia industrial en el borde derecho","Lecho seco/parcialmente expuesto de quebrada, con bloques y cantos rodados de distintos tamanos, pared rocosa al fondo y vegetacion baja brotando en grietas y bordes. Se observa un cable o tuberia industrial cruzando el encuadre.","Podria corresponder a un tramo lateral o estacional del sistema de quebradas asociado al estero; la presencia de infraestructura (cable/tuberia) indica intervencion humana cercana, no territorio silvestre no intervenido.","Documentar sustrato rocoso y sedimentario de quebrada.","Referencia de textura de roca/canto rodado y borde de quebrada seca para blockout.","docs/references/environments/photos/FIELD-ARR-2026-09-16-01/IMG_20260916_183314.jpg","high","reviewed","EXIF del archivo (Xiaomi Redmi Note 13 5G) no contiene coordenadas GPS validas (campos GPS vacios/NaN); latitud/longitud tomadas de docs/ART_DEPARTMENT_HANDOFF_2026-09-16.md, no confirmadas por dispositivo. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias); pendiente decidir si se versiona copia local en el repositorio."
"ENV-0013","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183327.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1_aWydELkS0Ox9RLOeqFARnDSXX96UBWf/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:33:27","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0014","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183349.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1OFJyxGCXx3ce-3UTHOD33UYh1vcTbPH8/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:33:49","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0015","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183356.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1Dm6i_y1uaQjJu-h3eo_Gkxxh0OFXOoGX/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:33:56","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0016","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183430.jpg","visual;geomorphological;ecological","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1N47qh3B25f-C4bA18iGzVaebejkDnxNE/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:34:30","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","tarde","","","cauce_o_estero","","","","evidencia territorial directa","cauce activo encajonado","","vegetacion arborea/arbustiva densa en ribera opuesta","alta en la ribera opuesta","lecho rocoso;bloques graniticos","flujo superficial activo, agua turbia/color te","","","","cauce con corriente;bloques de roca en el lecho;vegetacion de ribera densa","Estero con flujo de agua activo y visible, de color parduzco, corriendo entre bloques de roca; ribera con pared rocosa de un lado y vegetacion arborea densa del otro.","Coherente con el Estero El Arrayan mencionado en el handoff de Direccion de Arte, pero no se confirma identidad exacta del tramo sin evidencia cartografica adicional.","Documentar cauce activo, color y turbidez del agua, y relacion agua-roca-vegetacion de ribera.","Referencia directa para el rasgo 'estero a nivel inferior, lado derecho del camino' del canon visual del piloto (IT-001/MAP-001).","docs/references/environments/photos/FIELD-ARR-2026-09-16-01/IMG_20260916_183430.jpg","high","reviewed","EXIF del archivo (Xiaomi Redmi Note 13 5G) no contiene coordenadas GPS validas (campos GPS vacios/NaN); latitud/longitud tomadas de docs/ART_DEPARTMENT_HANDOFF_2026-09-16.md, no confirmadas por dispositivo. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias); pendiente decidir si se versiona copia local en el repositorio."
"ENV-0017","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183452.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1ND49YSHD24o8-nGwGI8OPXw14L1YOzYw/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:34:52","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0018","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183858.jpg","visual;geomorphological;ecological","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1wlIthmkKWuh0gssn-n998lFSU1pLMJiS/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:38:58","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","tarde","","","interior_bosque","","","","evidencia territorial directa","suelo de bosque/ladera baja","","estrato herbaceo bajo emergente sobre hojarasca","","hojarasca densa;ramillas;suelo organico","sin evidencia de humedad superficial","","","","hojarasca;ramillas caidas;brotes herbaceos pequenos","Primer plano cenital de hojarasca densa (hojas secas de forma ovalada, compatibles en silueta con especies esclerofilas) mezclada con ramillas, con brotes herbaceos verdes emergiendo entre la hojarasca.","Util como referencia de piso de bosque esclerofilo; no se identifica especie de hoja con certeza a partir de la fotografia sola.","Documentar textura y color de hojarasca como sustrato organico dominante del piso de bosque.","Referencia de textura de suelo/hojarasca para plano medio o de fondo de escenario.","docs/references/environments/photos/FIELD-ARR-2026-09-16-01/IMG_20260916_183858.jpg","high","reviewed","EXIF del archivo (Xiaomi Redmi Note 13 5G) no contiene coordenadas GPS validas (campos GPS vacios/NaN); latitud/longitud tomadas de docs/ART_DEPARTMENT_HANDOFF_2026-09-16.md, no confirmadas por dispositivo. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias); pendiente decidir si se versiona copia local en el repositorio."
"ENV-0019","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183923.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1E4C8nxPp5oULgQR8QhxNDiGBR11rhH6b/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:39:23","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0020","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183936.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1-4tX_Es30bTvdP2ONdtFwtZHMI6Ht8QU/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:39:36","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0021","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183941.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1oCb_cwU0uVCRZsMB6Hvh3ya2XqRuiDeS/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:39:41","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0022","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183944.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1ZK4M8jGp-jdGuhiq3r0esvAkH5kfl1qZ/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:39:44","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0023","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_183948.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1Bb2HpCfzAhqwlsCExzw2JgijQCIJqtNi/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:39:48","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
"ENV-0024","FIELD-ARR-2026-09-16-01","field","photograph","Lote de campo El Arrayan - IMG_20260916_184010.jpg","visual","core","","unknown","arboris.illestudio@gmail.com","https://drive.google.com/file/d/1iUJreH99n_0yHW6kPljDUOTAlvrG16Jf/view?usp=drivesdk","uso interno Arboris, no publicado","","2026-09-17","2026-09-16 18:40:10","Santuario de la Naturaleza El Arrayan (ex Fundo Los Nogales), sector estero El Arrayan","Santuario de la Naturaleza Los Nogales / El Arrayan","Fundo Los Nogales","-33.325461","-70.456750","point (reportado en handoff, no en EXIF)","","","","","","","","","","evidencia territorial directa (pendiente de revision visual individual)","","","","","","","","","","","","","","","","low","collected","Parte de la serie FIELD-ARR-2026-09-16-01 (misma visita de campo, El Arrayan/Los Nogales, 16-sep-2026, 18:32-18:50). Contenido visual aun no descrito individualmente; no completar observedNotes/interpretedNotes hasta revisarla. Archivo original en Google Drive (cuenta arboris.illestudio@gmail.com, carpeta Proyecto Arboris/Referencias)."
