species_code,individual,evidence_type,photo_number,filename,relative_path,leaf_arrangement_value,leaf_arrangement_visibility,leaf_arrangement_confidence,leaf_shape_value,leaf_shape_visibility,leaf_shape_confidence,leaf_apex_value,leaf_apex_visibility,leaf_apex_confidence,leaf_margin_value,leaf_margin_visibility,leaf_margin_confidence,teeth_value,teeth_visibility,teeth_confidence,venation_value,venation_visibility,venation_confidence,surface_value,surface_visibility,surface_confidence,relative_color_value,relative_color_visibility,relative_color_confidence,underside_value,underside_visibility,underside_confidence,reproductive_structures_value,reproductive_structures_visibility,reproductive_structures_confidence,notes
SP003,KO002,hojas,01,SP003_KO002_hojas_01.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO003,hojas,01,SP003_KO003_hojas_01.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO003_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO003,hojas,02,SP003_KO003_hojas_02.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO003_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM001,capitulo_amarillo,01,SP004_PM001_capitulo_amarillo_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM001_capitulo_amarillo_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM001,capitulo_inmaduro,01,SP004_PM001_capitulo_inmaduro_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM001_capitulo_inmaduro_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM001,ramilla_hojas,01,SP004_PM001_ramilla_hojas_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM001_ramilla_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM001,ramilla_hojas,02,SP004_PM001_ramilla_hojas_02.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM001_ramilla_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM002,capitulo,01,SP004_PM002_capitulo_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM002_capitulo_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM002,capitulo,02,SP004_PM002_capitulo_02.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM002_capitulo_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM002,hojas,01,SP004_PM002_hojas_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP004,PM002,ramilla_capitulo,01,SP004_PM002_ramilla_capitulo_01.jpg,species\SP004_podanthus_mitiqui\photos\SP004_PM002_ramilla_capitulo_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO001,hojas,01,SP005_CO001_hojas_01.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO001_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO001,hojas,02,SP005_CO001_hojas_02.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO001_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO001,inflorescencia_fruto,01,SP005_CO001_inflorescencia_fruto_01.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO001_inflorescencia_fruto_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO001,inflorescencia_masculina,01,SP005_CO001_inflorescencia_masculina_01.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO001_inflorescencia_masculina_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO001,inflorescencia_masculina,02,SP005_CO001_inflorescencia_masculina_02.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO001_inflorescencia_masculina_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO002,hojas,01,SP005_CO002_hojas_01.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP005,CO002,ramilla_hojas,01,SP005_CO002_ramilla_hojas_01.jpg,species\SP005_colliguaja_odorifera\photos\SP005_CO002_ramilla_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS001,hojas,01,SP006_QS001_hojas_01.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS001_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS001,hojas,02,SP006_QS001_hojas_02.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS001_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS001,ramilla,01,SP006_QS001_ramilla_01.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS001_ramilla_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS002,hojas,01,SP006_QS002_hojas_01.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS002,hojas,02,SP006_QS002_hojas_02.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS002_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS002,hojas,03,SP006_QS002_hojas_03.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS002_hojas_03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP006,QS002,ramilla_hojas,01,SP006_QS002_ramilla_hojas_01.jpg,species\SP006_quillaja_saponaria\photos\SP006_QS002_ramilla_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
